kód obce;název obce;registrovaní;obálky;platné;ALIANCE NÁRODNÍCH SIL;ANO 2011;Aliance pro budoucnost;Hnutí Prameny;Komunistická str.Čech a Moravy;Koruna Česká (monarch.strana);Otevřeme ČR normálnímu životu;PIRÁTI a STAROSTOVÉ;PŘÍSAHA Roberta Šlachty;SENIOŘI 21;SPOLU – ODS, KDU-ČSL, TOP 09;Strana zelených;Svoboda a př. demokracie (SPD);Trikolora Svobodní Soukromníci;Urza.cz: Nechceme vaše hlasy;VOLNÝ blok;Česká str.sociálně demokrat.;Švýcarská demokracie
534145;Bykoš;186;122;121;1;34;1;0;4;0;0;23;1;1;22;4;15;1;0;2;10;2
531201;Hostomice;1360;898;897;0;206;0;1;34;2;10;150;56;0;276;10;74;19;0;8;47;4
533912;Mořinka;143;113;112;0;21;0;1;0;0;1;24;4;0;44;0;8;3;1;3;1;1
531081;Broumy;765;560;560;4;159;4;2;25;1;5;126;26;2;114;8;26;12;2;1;36;7
531588;Neumětely;454;282;281;0;63;0;0;10;0;10;43;12;0;87;0;19;8;1;5;20;3
533963;Skřipel;104;68;65;0;25;0;0;0;0;1;9;4;0;16;1;4;2;0;0;2;1
534111;Otmíče;142;104;104;0;20;0;0;6;0;0;13;9;0;26;3;8;6;0;0;11;2
531782;Suchomasty;394;251;249;0;61;0;0;21;1;2;37;16;1;54;3;28;2;0;6;15;2
534404;Lužce;93;65;65;0;22;0;0;0;0;0;10;3;0;15;2;6;2;0;4;1;0
531642;Osov;266;187;185;0;45;0;0;12;0;1;34;6;1;57;2;11;0;0;4;11;1
531316;Karlštejn;684;518;514;0;96;0;0;24;2;1;89;21;1;195;2;23;19;1;7;29;4
533319;Malá Víska;86;63;63;0;13;0;0;3;0;0;14;3;0;13;0;10;0;1;2;4;0
531090;Březová;248;163;163;0;30;1;0;7;0;1;24;13;0;54;4;11;5;0;3;10;0
531685;Podluhy;530;366;364;0;101;1;0;18;0;4;40;38;2;83;4;32;15;0;0;22;4
531961;Vysoký Újezd;912;706;702;0;100;3;0;9;2;2;145;21;1;326;5;40;15;0;6;22;5
531545;Mořina;614;454;454;1;80;0;1;12;1;3;81;21;1;173;6;41;5;0;2;25;1
531120;Bzová;369;254;254;1;65;0;0;10;0;2;32;21;0;71;3;20;2;0;7;19;1
531189;Hořovice;5086;3243;3224;2;856;7;3;164;10;26;490;175;5;898;19;228;102;1;40;192;6
531294;Chyňava;1479;1020;1012;1;274;1;2;51;4;5;153;65;3;306;9;66;15;3;3;49;2
533670;Chrustenice;717;559;555;0;81;0;0;15;0;6;119;51;0;199;13;44;8;1;4;13;1
531944;Vráž;957;667;661;1;165;2;2;27;1;2;116;41;0;173;8;60;19;0;10;33;1
533793;Korno;93;74;74;0;15;0;0;1;0;0;9;0;0;25;0;9;0;0;0;14;1
532002;Záluží;401;261;261;1;60;1;0;26;3;2;28;35;1;43;0;32;9;0;4;16;0
534218;Málkov;88;55;55;0;12;1;0;2;0;0;10;8;0;15;0;6;1;0;0;0;0
533602;Nenačovice;217;170;170;0;35;0;0;8;0;1;18;46;0;40;4;9;4;0;1;2;2
532011;Zdice;3156;2029;2023;0;523;3;0;93;7;12;323;128;4;559;24;157;42;3;31;102;12
531251;Chaloupky;422;322;318;0;79;0;1;19;1;4;46;24;1;102;5;14;9;0;5;7;1
531847;Tlustice;747;551;549;0;161;3;0;32;2;4;97;47;2;104;10;36;3;1;9;33;5
531448;Libomyšl;424;295;293;0;97;1;0;16;1;2;42;5;1;72;4;30;5;0;2;11;4
534455;Chlustina;194;136;133;0;25;1;0;4;0;0;16;19;0;42;2;18;2;0;0;4;0
533106;Trubín;383;300;299;0;70;1;0;6;0;2;48;12;1;114;4;18;10;0;3;9;1
531227;Hudlice;975;653;649;1;166;1;0;57;0;8;93;30;0;176;7;48;9;0;6;42;5
531596;Nižbor;1678;1161;1157;3;261;1;0;36;4;4;220;52;3;372;12;79;34;0;11;51;14
